# REAPER native action catalog (id\tname)
# Generated from REAPER 7.74 via SWS CF_EnumerateActions; native = ReverseNamedCommandLookup() empty.
# Native command IDs are stable across REAPER versions/platforms. Regenerate: see tools/README.md
124	Track: Set volume for track 14 (MIDI CC/OSC only)
125	Track: Set pan for track 14 (MIDI CC/OSC only)
126	Track: Toggle mute for track 14
127	Track: Toggle solo for track 14
128	Track: Toggle FX bypass for track 14
129	Track: Toggle record arm for track 14
130	Track: Set mute for track 14 (MIDI CC/OSC only)
131	Track: Set solo for track 14 (MIDI CC/OSC only)
132	Track: Set volume for track 15 (MIDI CC/OSC only)
133	Track: Set pan for track 15 (MIDI CC/OSC only)
134	Track: Toggle mute for track 15
135	Track: Toggle solo for track 15
136	Track: Toggle FX bypass for track 15
137	Track: Toggle record arm for track 15
138	Track: Set mute for track 15 (MIDI CC/OSC only)
139	Track: Set solo for track 15 (MIDI CC/OSC only)
140	Track: Set volume for track 16 (MIDI CC/OSC only)
141	Track: Set pan for track 16 (MIDI CC/OSC only)
142	Track: Toggle mute for track 16
143	Track: Toggle solo for track 16
144	Track: Toggle FX bypass for track 16
145	Track: Toggle record arm for track 16
146	Track: Set mute for track 16 (MIDI CC/OSC only)
147	Track: Set solo for track 16 (MIDI CC/OSC only)
148	Track: Set volume for track 17 (MIDI CC/OSC only)
149	Track: Set pan for track 17 (MIDI CC/OSC only)
150	Track: Toggle mute for track 17
151	Track: Toggle solo for track 17
152	Track: Toggle FX bypass for track 17
153	Track: Toggle record arm for track 17
154	Track: Set mute for track 17 (MIDI CC/OSC only)
155	Track: Set solo for track 17 (MIDI CC/OSC only)
156	Track: Set volume for track 18 (MIDI CC/OSC only)
157	Track: Set pan for track 18 (MIDI CC/OSC only)
158	Track: Toggle mute for track 18
159	Track: Toggle solo for track 18
160	Track: Toggle FX bypass for track 18
161	Track: Toggle record arm for track 18
162	Track: Set mute for track 18 (MIDI CC/OSC only)
163	Track: Set solo for track 18 (MIDI CC/OSC only)
164	Track: Set volume for track 19 (MIDI CC/OSC only)
165	Track: Set pan for track 19 (MIDI CC/OSC only)
166	Track: Toggle mute for track 19
167	Track: Toggle solo for track 19
168	Track: Toggle FX bypass for track 19
169	Track: Toggle record arm for track 19
170	Track: Set mute for track 19 (MIDI CC/OSC only)
171	Track: Set solo for track 19 (MIDI CC/OSC only)
172	Track: Set volume for track 20 (MIDI CC/OSC only)
173	Track: Set pan for track 20 (MIDI CC/OSC only)
174	Track: Toggle mute for track 20
175	Track: Toggle solo for track 20
176	Track: Toggle FX bypass for track 20
177	Track: Toggle record arm for track 20
178	Track: Set mute for track 20 (MIDI CC/OSC only)
179	Track: Set solo for track 20 (MIDI CC/OSC only)
